Libelle,Count,geo_point.1,geo_point.2,
PI_Montmartre,4156351,48.90073236,2.337226414,
SI_RN13_bretelle_8,1562909,48.87719853,2.279019273,
Cours_la_Reine,636781,48.86435384,2.319154157,
PI_Poterne,5001308,48.81738504,2.351551919,
PI_Arts_Metiers,3476585,48.81809823,2.33320694,
Menilmontant,1148521,48.87002589,2.39516412,
Av_de_l'Opera,844244,48.86391132,2.332657424,
Pt_Sully,4952066,48.84975837,2.357793107,
Bd_Henri_IV,5015017,48.85093178,2.361783651,
PE_Sevres,4846828,48.83380419,2.276950817,
PE_Montrouge,6730155,48.82137992,2.319159137,
Quai_de_Grenelle,2090134,48.84932842,2.281671281,
PI_Reuilly,6902418,48.83218805,2.405152822,
AV_Champs_Elysees,1433595,48.87153588,2.301722792,
Quai_de_la_Rapee_W,4593505,48.84125839,2.370396121,
Quai_de_la_Rapee,2351482,48.84611498,2.367203548,
Alain,707992,48.83673543,2.316532754,
SE_A13_bretelle_4,1737157,48.84946906,2.251042851,
Cours Albert 1er_VGP,798118,48.86465745,2.304917795,
Av_des_Champs_Elysees,3730713,48.87265699,2.296485343,
Petit_Pont,563514,48.85328215,2.346927623,
Av_de_la_Republique,572013,48.86567021,2.372604032,
Av_Franklin_Roosevelt,1099431,48.86585523,2.310202857,
Av_de_la_Grande_Armee,7405725,48.87414658,2.287925626,
Rond_Point_des_Champs_Elysees,542231,48.86855654,2.310152459,
Av_de_Wagram,4458371,48.87471588,2.29565044,
Av_Mac_Mahon,896771,48.87483818,2.294829284,
Quai_Branly,1897368,48.85974727,2.29451703,
Quai_Andre_Citroen,2311815,48.84602415,2.27738665,
Av_Pte_Pre_St_Gervais,709600,48.87951398,2.401433074,
Pt_de_Bir_Hakeim,374649,48.85550113,2.287603884,
Pt_de_l'Alma,1133639,48.86329444,2.301540626,
Quai_Conti,1650368,48.85614328,2.338796795,
Pl_Institut,987686,48.85777966,2.336652653,
Quai_Malaquais,1948310,48.85782218,2.334306337,
Quai_Voltaire,3048458,48.85854004,2.329845693,
PE_Pont_aval,5585807,48.83487526,2.263186046,
PE_Parc_Expo_Ouest,4715111,48.83173024,2.282106133,
PI_Chatillon,6032836,48.82262742,2.31427075,
Pt_Royal,301558,48.86015891,2.329914664,
Pt_Morland,1701311,48.84692093,2.366165977,
PI_Cite_U,2957930,48.81672489,2.339933231,
Souterrain_Pantin,5984978,48.89111113,2.396086402,
Quai_Bercy_Rapee_W,2241402,48.83863719,2.376188138,
PE_Chatillon,5678443,48.82251451,2.314232456,
Av_Pte_de_Vanves,241380,48.82589028,2.304271583,
Pt_de_Bercy,754103,48.83812693,2.374686942,
Av_de_la_Pte_de_St_Cloud,428243,48.83846303,2.253254148,
PI_Ivry,7648929,48.81973087,2.373340409,
PI_Parc_Expo_Ouest,4868638,48.83183804,2.282197586,
Av_Pte_St_Cloud,1100114,48.83863415,2.254304019,
PE_Aubervilliers,4394048,48.90072531,2.371325565,
PI_Parc_Expo_Est,6013829,48.82942945,2.287873604,
Bercy_bretelle_9,181318,48.82690095,2.390351775,
Pyramides,426010,48.86413541,2.332361145,
Lemonnier,258868,48.86158575,2.33054218,
